Date,SKU,MAE
2025-07-03,PCAR-001,1.3429
2025-07-03,OUTD-003,1.3857
2025-07-03,BABY-001,1.7095
2025-07-03,BABY-003,1.4048
2025-07-03,OUTD-001,1.6857
2025-07-03,OFFC-003,1.4762
2025-07-03,BEAU-001,1.3048
2025-07-03,OFFC-002,1.3619
2025-07-03,OFFC-001,1.6286
2025-07-03,BEAU-002,1.0571
2025-07-03,OUTD-002,1.7048
2025-07-03,MUSC-003,1.2952
2025-07-03,PETS-002,1.7143
2025-07-03,AUTO-003,1.6714
2025-07-03,APPL-002,1.6
2025-07-03,TOYS-001,1.0571
2025-07-03,TOOL-003,1.2429
2025-07-03,APPL-003,1.1952
2025-07-03,TOOL-002,1.4952
2025-07-03,TOOL-001,1.9143
2025-07-03,PETS-003,2.3048
2025-07-03,SPRT-003,1.8
2025-07-03,SPRT-002,1.1952
2025-07-03,SPRT-001,1.3571
2025-07-03,AUTO-002,1.0476
2025-07-03,SOFT-003,1.2857
2025-07-03,SOFT-002,1.1667
2025-07-03,SOFT-001,1.3857
2025-07-03,AUTO-001,1.1619
2025-07-03,TOYS-002,1.0714
2025-07-03,MUSC-002,1.2857
2025-07-03,BEAU-003,1.3095
2025-07-03,GROC-002,2.181
2025-07-03,GROC-001,1.9048
2025-07-03,CLTH-003,1.2524
2025-07-03,GRDN-003,1.5857
2025-07-03,GRDN-002,1.2905
2025-07-03,DIY0-001,1.5095
2025-07-03,GROC-003,2.2476
2025-07-03,GRDN-001,1.5857
2025-07-03,FURN-002,1.0667
2025-07-03,DIY0-002,1.7429
2025-07-03,FURN-001,1.3857
2025-07-03,ELEC-003,0.8286
2025-07-03,DIY0-003,1.6095
2025-07-03,ELEC-002,0.6714
2025-07-03,FURN-003,1.4286
2025-07-03,MUSC-001,1.2143
2025-07-03,CLTH-002,1.1571
2025-07-03,HLTH-002,1.3286
2025-07-03,MOVI-003,1.7143
2025-07-03,MOVI-002,1.7619
2025-07-03,BOOK-001,1.4524
2025-07-03,MOVI-001,1.5333
2025-07-03,JWLY-003,1.6
2025-07-03,JWLY-002,1.1571
2025-07-03,HLTH-001,1.7381
2025-07-03,BOOK-002,1.3381
2025-07-03,HOMK-003,1.7571
2025-07-03,BOOK-003,1.2571
2025-07-03,HOMK-002,1.3143
2025-07-03,HOMK-001,0.7571
2025-07-03,HLTH-003,1.1
2025-07-03,CLTH-001,1.2571
2025-07-03,JWLY-001,1.1333
2025-07-03,TOYS-003,1.1905
2025-07-03,ELEC-001,1.0286
2025-07-04,APPL-001,1.5
2025-07-04,PETS-001,1.9143
2025-07-04,PCAR-003,1.3333
2025-07-04,PCAR-002,1.681
2025-07-04,BABY-002,1.3143
2025-07-04,PCAR-001,1.5571
2025-07-04,OUTD-003,1.2286
2025-07-04,BABY-001,2.019
2025-07-04,BABY-003,1.4762
2025-07-04,OUTD-001,1.8048
2025-07-04,OFFC-003,1.4524
2025-07-04,BEAU-001,1.4667
2025-07-04,OFFC-002,1.3429
2025-07-04,OFFC-001,1.6381
2025-07-04,BEAU-002,1.0952
2025-07-04,OUTD-002,1.8429
2025-07-04,MUSC-003,1.0143
2025-07-04,PETS-002,1.7143
2025-07-04,AUTO-003,1.8143
2025-07-04,APPL-002,1.8762
2025-07-04,TOYS-001,1.1
2025-07-04,TOOL-003,1.1286
2025-07-04,APPL-003,1.1905
2025-07-04,TOOL-002,1.4714
2025-07-04,TOOL-001,1.9762
2025-07-04,PETS-003,2.3143
2025-07-04,SPRT-003,1.9381
2025-07-04,SPRT-002,1.2
2025-07-04,SPRT-001,1.5
2025-07-04,AUTO-002,1.1143
2025-07-04,SOFT-003,1.4
2025-07-04,SOFT-002,1.2524
2025-07-04,SOFT-001,1.2429
2025-07-04,AUTO-001,1.4476
2025-07-04,TOYS-002,1.0762
2025-07-04,MUSC-002,0.9571
2025-07-04,BEAU-003,1.3095
2025-07-04,GROC-002,2.1952
2025-07-04,GROC-001,1.6429
2025-07-04,CLTH-003,1.1714
2025-07-04,GRDN-003,1.3095
2025-07-04,GRDN-002,1.5905
2025-07-04,DIY0-001,1.5
2025-07-04,GROC-003,2.0333
2025-07-04,GRDN-001,1.2857
2025-07-04,FURN-002,1.0571
2025-07-04,DIY0-002,1.8286
2025-07-04,FURN-001,1.2857
2025-07-04,ELEC-003,0.881
2025-07-04,DIY0-003,1.7571
2025-07-04,ELEC-002,0.6714
2025-07-04,FURN-003,1.3429
2025-07-04,MUSC-001,1.3095
2025-07-04,CLTH-002,1.3143
2025-07-04,HLTH-002,1.4714
2025-07-04,MOVI-003,1.6952
2025-07-04,MOVI-002,1.8714
2025-07-04,BOOK-001,1.4
2025-07-04,MOVI-001,1.4667
2025-07-04,JWLY-003,1.4143
2025-07-04,JWLY-002,1.1619
2025-07-04,HLTH-001,1.8286
2025-07-04,BOOK-002,1.3
2025-07-04,HOMK-003,1.6429
2025-07-04,BOOK-003,1.3381
2025-07-04,HOMK-002,1.3
2025-07-04,HOMK-001,0.6
2025-07-04,HLTH-003,1.0952
2025-07-04,CLTH-001,1.1429
2025-07-04,JWLY-001,1.1381
2025-07-04,TOYS-003,1.1952
2025-07-04,ELEC-001,1.1429
2025-07-05,APPL-001,1.5476
2025-07-05,PETS-001,1.8095
2025-07-05,PCAR-003,1.3333
2025-07-05,PCAR-002,1.8429
2025-07-05,BABY-002,1.0857
2025-07-05,PCAR-001,1.6
2025-07-05,OUTD-003,1.2286
2025-07-05,BABY-001,1.9762
2025-07-05,BABY-003,1.5429
2025-07-05,OUTD-001,1.9667
2025-07-05,OFFC-003,1.4857
2025-07-05,BEAU-001,1.2571
2025-07-05,OFFC-002,1.1857
2025-07-05,OFFC-001,1.6571
2025-07-05,BEAU-002,1.1286
2025-07-05,OUTD-002,1.7286
2025-07-05,MUSC-003,1.1714
2025-07-05,PETS-002,1.5714
2025-07-05,AUTO-003,1.8048
2025-07-05,APPL-002,1.5905
2025-07-05,TOYS-001,1.0429
2025-07-05,TOOL-003,1.2571
2025-07-05,APPL-003,1.1571
2025-07-05,TOOL-002,1.3429
2025-07-05,TOOL-001,1.7381
2025-07-05,PETS-003,2.319
2025-07-05,SPRT-003,2.219
2025-07-05,SPRT-002,1.0429
2025-07-05,SPRT-001,1.1714
2025-07-05,AUTO-002,1.4429
2025-07-05,SOFT-003,1.5714
